model_type,features,features_text,n_features,MAE_train,RMSE_train,R2_train,MAE_test,RMSE_test,R2_test,sMAPE_test,AIC_train,BIC_train,adj_R2_train
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag1', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag1 + mes,3,1.9521857170640278,2.5484152430742637,0.1633391600124119,1.49762766875419,2.0189878632498752,0.1119772119824306,21.594474504284115,474.17322472349065,484.553704124029,0.1369182913812248
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag1', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag1 + mes,3,1.9521857170640289,2.5484152430742637,0.1633391600124119,1.497627668754192,2.0189878632498734,0.11197721198243193,21.594474504284154,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag1', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag1 + mat_eq_lag1 + mes,4,1.9483900705873893,2.547732964720384,0.16378709263901248,1.518797223877469,2.063496296032378,0.07239286319769433,21.875813990245526,476.12020777446685,489.0958070251398,0.12820356466620442
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag1', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag1 + mat_eq_lag1 + mes,4,1.9483900705873929,2.547732964720384,0.16378709263901226,1.5187972238774743,2.0634962960323757,0.07239286319769667,21.875813990245614,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag1']",ppef_mujeres_25_40 + RE_ponderado_lag1,2,1.960152545148152,2.5534228082276016,0.16004789895457416,1.539043284957269,1.980265841626856,0.14571321858270958,22.204964164165034,472.56190747225264,480.3472670226564,0.14254889684946093
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag1']",ppef_mujeres_25_40 + RE_ponderado_lag1,2,1.9601525451481545,2.553422808227602,0.16004789895457383,1.5390432849572797,1.9802658416268621,0.14571321858270414,22.204964164165197,,,
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag1', 'mat_eq_lag1']",ppef_mujeres_25_40 + RE_ponderado_lag1 + mat_eq_lag1,3,1.9569644524469345,2.5527048452065757,0.16052018248207633,1.5579311810715553,2.024314493889568,0.1072853471085734,22.451112194575714,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag1', 'mat_eq_lag1']",ppef_mujeres_25_40 + RE_ponderado_lag1 + mat_eq_lag1,3,1.9569644524469332,2.552704845206576,0.16052018248207622,1.5579311810715553,2.024314493889569,0.10728534710857218,22.451112194575714,474.50622665549736,484.88670605603573,0.1340102935078259
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag1 + mes,4,1.9523330379005808,2.533400785112533,0.1731688008834693,1.5613671140729168,2.0886302266440295,0.0496582439817741,22.49829947178743,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag1 + mes,4,1.952333037900581,2.533400785112533,0.1731688008834693,1.5613671140729168,2.088630226644026,0.04965824398177732,22.498299471787444,475.0032212009878,487.97882045166074,0.13798449453808492
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag1', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag1 + mat_eq_lag1 + mes,5,1.9465816605536659,2.531933994249958,0.17412596278549475,1.590808071221243,2.152197179545581,-0.009068873635295072,22.8777362096279,476.8885497679798,492.4592688687873,0.12972413282772566
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag1', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag1 + mat_eq_lag1 + mes,5,1.9465816605536663,2.531933994249958,0.17412596278549475,1.5908080712212438,2.152197179545577,-0.009068873635291519,22.877736209627912,,,
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag1,3,1.9509003876774342,2.534942259615136,0.17216230639407082,1.5929727891304901,2.0736649736897292,0.06322804983885744,22.972864495423465,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag1,3,1.950900387677342,2.534942259615136,0.17216230639407093,1.5929727891304994,2.0736649736899633,0.06322804983864583,22.97286449542319,473.1236597578229,483.5041391583613,0.14602006343809415
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag2']",ppef_mujeres_25_40 + RE_ponderado_lag2,2,1.9573119805521166,2.5200821513588085,0.18183960817536904,1.6161691125975601,2.0741894728417716,0.06275410806194748,23.304900689673737,469.95954672055626,477.74490627096003,0.1647946000123559
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag2']",ppef_mujeres_25_40 + RE_ponderado_lag2,2,1.957311980552117,2.5200821513588085,0.18183960817536904,1.6161691125975632,2.0741894728417694,0.06275410806194948,23.3049006896738,,,
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag1', 'mat_eq_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag1 + mat_eq_lag1,4,1.946308702569975,2.533376453908595,0.17318468285685373,1.622325456580901,2.1381917512095088,0.004021430989395891,23.344586963842886,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag1', 'mat_eq_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag1 + mat_eq_lag1,4,1.9463087025698556,2.5333764539085952,0.1731846828568535,1.6223254565809107,2.138191751209712,0.00402143098920682,23.34458696384271,475.00131956681196,487.9769188174849,0.13800105234012383
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag2', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag2 + mes,3,1.9435303600676628,2.5127475763460234,0.18659510883324892,1.622961117078666,2.1402771368881353,0.0020777210343231323,23.3292271819843,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag2', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag2 + mes,3,1.9435303600676646,2.5127475763460234,0.1865951088332487,1.6229611170786702,2.140277136888135,0.0020777210343235764,23.329227181984372,471.3824372377301,481.76291663826845,0.16090863858587778
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag2', 'mat_eq_lag1']",ppef_mujeres_25_40 + RE_ponderado_lag2 + mat_eq_lag1,3,1.9564923347278078,2.5199007764414167,0.18195737293420033,1.626039158104275,2.0945351967317962,0.04427704024469503,23.439125947144294,471.94529578591084,482.3257751864492,0.1561244478689644
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag2', 'mat_eq_lag1']",ppef_mujeres_25_40 + RE_ponderado_lag2 + mat_eq_lag1,3,1.9564923347278083,2.519900776441417,0.18195737293420022,1.626039158104276,2.0945351967317967,0.04427704024469492,23.439125947144312,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag2', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag2 + mat_eq_lag1 + mes,4,1.9437756725660276,2.51258789182392,0.18669848893028973,1.6406959043083338,2.160004346881269,-0.016403014227877488,23.56859518027574,473.36985398409956,486.3454532347725,0.15208991399115313
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag2', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag2 + mat_eq_lag1 + mes,4,1.9437756725660298,2.51258789182392,0.18669848893028973,1.6406959043083418,2.160004346881268,-0.016403014227876822,23.56859518027585,,,
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag2', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag2 + mes,4,1.936231323857571,2.498137584236548,0.1960264506502284,1.647697905201505,2.1943212537363292,-0.0489556179102959,23.64481215065777,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag2', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag2 + mes,4,1.93623132385757,2.498137584236548,0.19602645065022828,1.6476979052015055,2.1943212537363275,-0.0489556179102939,23.64481215065777,472.2278361873355,485.20343543800846,0.16181481025236555
sklearn_linear_regression,"['ppef_mujeres_25_40', 'mes']",ppef_mujeres_25_40 + mes,2,2.000158441643077,2.587159403553859,0.13770586976398347,1.6551441217913114,2.1321852637138607,0.00960926491643943,23.884386781084935,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'mes']",ppef_mujeres_25_40 + mes,2,2.000158441643076,2.5871594035538594,0.13770586976398336,1.6551441217913199,2.132185263713854,0.009609264916445315,23.88438678108507,475.16081222773107,482.94617177813484,0.11974140871739969
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag2']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag2,3,1.946209132512184,2.5011150130427433,0.1941088616900264,1.660829191490534,2.1602661116140736,-0.016649379088444993,23.87879079560593,470.463683831302,480.84416323184035,0.1686596678486587
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag2']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag2,3,1.9462091325123554,2.501115013042743,0.1941088616900265,1.6608291914908948,2.1602661116137782,-0.016649379088167215,23.87879079561155,,,
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag2', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag2 + mat_eq_lag1 + mes,5,1.932972433440754,2.497558291290914,0.19639927415585545,1.6662123300538365,2.231001010152101,-0.08431690300035632,23.893788825363398,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag2', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag2 + mat_eq_lag1 + mes,5,1.932972433440754,2.497558291290914,0.19639927415585545,1.6662123300538367,2.2310010101521054,-0.08431690300036032,23.89378882536341,474.18191665716097,489.7526357579685,0.15319493405670792
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag3']",ppef_mujeres_25_40 + RE_ponderado_lag3,2,1.973528322909156,2.5095271754048296,0.18867873338785135,1.6730279947416766,2.1862508614013323,-0.04125399631786597,24.14125363311517,469.12851266957443,476.9138722199782,0.17177620700009832
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag3']",ppef_mujeres_25_40 + RE_ponderado_lag3,2,1.9735283229091531,2.5095271754048296,0.18867873338785135,1.6730279947416768,2.1862508614013247,-0.04125399631785864,24.14125363311518,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag3', 'mat_eq_lag1']",ppef_mujeres_25_40 + RE_ponderado_lag3 + mat_eq_lag1,3,1.9735266859910627,2.5095271686555103,0.18867873775191335,1.6730848686555762,2.186363769632509,-0.04136154955874849,24.142046139312786,471.1285121370577,481.5089915375961,0.16305806631249997
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag3', 'mat_eq_lag1']",ppef_mujeres_25_40 + RE_ponderado_lag3 + mat_eq_lag1,3,1.9735266859910623,2.509527168655511,0.18867873775191302,1.6730848686555764,2.1863637696325084,-0.041361549558748045,24.142046139312797,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag2', 'mat_eq_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag2 + mat_eq_lag1,4,1.943575442747017,2.5004499356306096,0.1945373975454986,1.6804698320601448,2.198930536256976,-0.053367014643095345,24.13854951640298,472.41102618125444,485.38662543192737,0.16026239318573232
sklearn_linear_regression,"['ppef_mujeres_25_40', 'pct_amb_fill_25_40', 'RE_ponderado_lag2', 'mat_eq_lag1']",ppef_mujeres_25_40 + pct_amb_fill_25_40 + RE_ponderado_lag2 + mat_eq_lag1,4,1.9435754427472691,2.50044993563061,0.19453739754549837,1.6804698320605134,2.19893053625671,-0.05336701464284088,24.138549516408606,,,
sklearn_linear_regression,"['ppef_mujeres_25_40', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + mat_eq_lag1 + mes,3,2.003076069165222,2.583151714188015,0.14037530742511029,1.689370675940966,2.2209353608151994,-0.07455470888357651,24.319807807588766,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + mat_eq_lag1 + mes,3,2.0030760691652216,2.5831517141880145,0.1403753074251104,1.6893706759409663,2.220935360815199,-0.07455470888357629,24.319807807588774,476.8538586865256,487.234338087064,0.1132292645016928
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag3', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag3 + mes,3,1.9699724743889673,2.5062186350911095,0.1908166019646359,1.7043695047261196,2.2343221235785022,-0.08754757817556413,24.567561530453627,,,
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag3', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag3 + mes,3,1.9699724743889673,2.5062186350911095,0.19081660196463612,1.7043695047261196,2.2343221235785027,-0.08754757817556458,24.567561530453627,470.86729884340383,481.2477782439422,0.1652634420266772
statsmodels_ols,"['ppef_mujeres_25_40', 'RE_ponderado_lag3', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag3 + mat_eq_lag1 + mes,4,1.9699245521862043,2.5062182973543186,0.19081682005493505,1.7052196306555423,2.2351432815849717,-0.08834711598470202,24.579149288542993,472.8672721610194,485.84287141169233,0.156383493248762
sklearn_linear_regression,"['ppef_mujeres_25_40', 'RE_ponderado_lag3', 'mat_eq_lag1', 'mes']",ppef_mujeres_25_40 + RE_ponderado_lag3 + mat_eq_lag1 + mes,4,1.9699245521862043,2.506218297354318,0.19081682005493517,1.7052196306555425,2.235143281584972,-0.08834711598470246,24.579149288543004,,,
