model,MAE,RMSE,R2,sMAPE
best_statsmodels_ols,1.49762766875419,2.0189878632498752,0.1119772119824306,21.594474504284115
baseline_media_global,2.2039747645979797,2.8683188804908535,-0.7923035182238487,33.1163934264847
baseline_media_mes,2.2408280459895837,2.8845749477665428,-0.8126766850297786,34.941701157940045
baseline_media_movil_3m,2.859238557622222,3.751357107046138,-2.0657272263635758,36.61677139763844
baseline_lag1,3.5285891039500004,4.625409014488327,-3.660762563620959,45.17757143096702
baseline_lag12,4.342010159133333,5.020701777188031,-4.4914311803959075,60.527731771670176
